[PROBE] Math0/1 norm total: 44070 cycles
[PROBE] MathA NormReady stall: 54646 cycles
[PROBE] Math0/1 norm total: 46282 cycles
[PROBE] MathA NormReady stall: 56899 cycles
[PROBE] Math0/1 norm total: 44814 cycles
[PROBE] MathA NormReady stall: 54805 cycles
[PROBE] Math0/1 norm total: 42938 cycles
[PROBE] MathA NormReady stall: 53075 cycles
[PROBE] MathA NormReady stall: 57927 cycles
[PROBE] Math0/1 norm total: 46429 cycles
[PROBE] Math0/1 norm total: 40100 cycles
[PROBE] MathA NormReady stall: 50008 cycles
[PROBE] MathA NormReady stall: 54467 cycles
[PROBE] Math0/1 norm total: 45050 cycles
[PROBE] Math0/1 norm total: 45585 cycles
[PROBE] MathA NormReady stall: 55106 cycles
[PROBE] Math0/1 norm total: 45309 cycles
[PROBE] MathA NormReady stall: 54768 cycles
[PROBE] Math0/1 norm total: 44533 cycles
[PROBE] MathA NormReady stall: 54343 cycles
[PROBE] Math0/1 norm total: 43002 cycles
[PROBE] MathA NormReady stall: 51844 cycles
[PROBE] Math0/1 norm total: 45511 cycles
[PROBE] MathA NormReady stall: 55486 cycles
[PROBE] Math0/1 norm total: 43359 cycles
[PROBE] MathA NormReady stall: 52486 cycles
[KDA DEBUG] SharedStorageSize = 232448 bytes (227.0 KB)
[KDA DEBUG] MaxThreadsPerBlock = 512
[PROBE] MathA NormReady stall: 43329 cycles
[PROBE] Math0/1 norm total: 43395 cycles
[PROBE] Math0/1 norm total: 41017 cycles
[PROBE] MathA NormReady stall: 49206 cycles
[PROBE] Math0/1 norm total: 45667 cycles
[PROBE] MathA NormReady stall: 56046 cycles
[PROBE] MathA NormReady stall: 54466 cycles
[PROBE] Math0/1 norm total: 45302 cycles
[PROBE] Math0/1 norm total: 46460 cycles
[PROBE] MathA NormReady stall: 56573 cycles
[PROBE] MathA NormReady stall: 51988 cycles
[PROBE] Math0/1 norm total: 41635 cycles
[PROBE] Math0/1 norm total: 41374 cycles
[PROBE] MathA NormReady stall: 51383 cycles
[PROBE] Math0/1 norm total: 45470 cycles
[PROBE] MathA NormReady stall: 55509 cycles
[PROBE] MathA NormReady stall: 54143 cycles
[PROBE] Math0/1 norm total: 44166 cycles
[PROBE] Math0/1 norm total: 43681 cycles
[PROBE] MathA NormReady stall: 53989 cycles
[PROBE] Math0/1 norm total: 42909 cycles
[PROBE] MathA NormReady stall: 52585 cycles
[PROBE] Math0/1 norm total: 46077 cycles
[PROBE] MathA NormReady stall: 55658 cycles
[PROBE] Math0/1 norm total: 44464 cycles
[PROBE] MathA NormReady stall: 54508 cycles
[PROBE] Math0/1 norm total: 42441 cycles
[PROBE] MathA NormReady stall: 52438 cycles
[PROBE] Math0/1 norm total: 44207 cycles
[PROBE] MathA NormReady stall: 54321 cycles
[PROBE] Math0/1 norm total: 44184 cycles
[PROBE] MathA NormReady stall: 54153 cycles
[PROBE] Math0/1 norm total: 44160 cycles
[PROBE] MathA NormReady stall: 53709 cycles
[PROBE] Math0/1 norm total: 43540 cycles
